Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1774612027258,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,73.07691955566406,1.9736840724945068,0,1.9354839324951172,2.5641026496887207,0.6451612710952759,0,1.9867550134658813,0.6451612710952759,0.6410256624221802,3.8709678649902344,0,1.9354839324951172,1.2903225421905518,3.2051284313201904,0.6451612710952759,0,8192,358,752673,44,8,63111.20495605469,40980.51843261719,1628.6629638671875,33293438976,8589930496,3856531456,1080061952
200,1774612027258,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,73.07691955566406,1.9736840724945068,0,1.9354839324951172,2.5641026496887207,0.6451612710952759,0,1.9867550134658813,0.6451612710952759,0.6410256624221802,3.8709678649902344,0,1.9354839324951172,1.2903225421905518,3.2051284313201904,0.6451612710952759,0,8192,358,752673,44,8,63111.44940185547,40980.659240722656,1628.6629638671875,33293438976,8589930496,3871068160,1080061952
200,1774612027458,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,0,0,0,13.636363983154297,0,0,0,0,0,0,95.45454406738281,0,0,0,0,0,8192,358,25325,44,0,63113.55065917969,40981.76885986328,1628.66748046875,33293438976,8589930496,3898650624,1080061952
199,1774612027658,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,26.3157901763916,0,5,4.761904716491699,5.263157844543457,4.761904716491699,19.047618865966797,0,0,0,4.761904716491699,15.000000953674316,0,0,28.571430206298828,0,0,8192,358,25689,44,0,63115.76544189453,40982.97668457031,1628.672607421875,33293438976,8589930496,3954933760,1078849536
199,1774612027858,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,5,4.761904716491699,0,5.263157844543457,14.285715103149414,25,10.526315689086914,0,0,0,0,0,25,5,0,30.000001907348633,0,8192,358,25756,44,0,63118.07897949219,40984.27764892578,1628.672607421875,33293438976,8589930496,3968380928,1078607872
200,1774612028058,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,70,15.789472579956055,0,0,5.263157844543457,0,0,0,0,0,0,10,0,0,0,0,0,8192,358,25928,44,0,63120.167419433594,40985.398010253906,1628.672607421875,33293438976,8589930496,3984404480,1078575104
199,1774612028259,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,19.047618865966797,4.761904716491699,5,10,0,15.000000953674316,5,0,0,0,0,47.619049072265625,5,25,0,0,8192,358,25967,44,0,63122.484619140625,40986.70715332031,1628.673583984375,33293438976,8589930496,3988754432,1078423552
200,1774612028459,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,0,0,10,9.523809432983398,0,55,10,0,5,0,0,31.57894515991211,0,0,0,0,8192,358,26061,44,0,63124.726989746094,40987.956787109375,1628.673583984375,33293438976,8589930496,4131676160,1078321152
200,1774612028659,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,0,45,0,20,0,15.789472579956055,15.000000953674316,5,0,5,0,28.571430206298828,0,0,0,0,8192,361,26085,44,0,63126.743896484375,40989.16394042969,1628.673583984375,33293438976,8589930496,4204929024,1078321152
200,1774612028859,1618,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,2127,0,0,0,0,5.263157844543457,0,0,100,0,0,0,0,0,0,0,0,0,8192,374,26096,44,0,63128.66149902344,40990.25256347656,1628.673583984375,33293438976,8589930496,4312887296,1078321152
